,Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
22,2010-02-05,False,2.0,50605.27,42.31,2.572,211.0963582,8.106,False,False,False,False,5,2,2010
133,2010-02-12,True,2.0,44682.74,38.51,2.548,211.2421698,8.106,True,False,False,False,6,2,2010
186,2010-02-19,False,2.0,47928.89,39.93,2.514,211.2891429,8.106,False,False,False,False,7,2,2010
241,2010-02-26,False,2.0,44292.87,46.63,2.561,211.3196429,8.106,False,False,False,False,8,2,2010
321,2010-03-05,False,2.0,48397.98,46.5,2.625,211.3501429,8.106,False,False,False,False,9,3,2010
374,2010-03-12,False,2.0,43751.94,57.79,2.667,211.3806429,8.106,False,False,False,False,10,3,2010
446,2010-03-19,False,2.0,43615.49,54.58,2.72,211.215635,8.106,False,False,False,False,11,3,2010
527,2010-03-26,False,2.0,41892.55,51.45,2.732,211.0180424,8.106,False,False,False,False,12,3,2010
581,2010-04-02,False,2.0,47450.5,62.27,2.719,210.8204499,7.808,False,False,False,False,13,4,2010
675,2010-04-09,False,2.0,46549.73,65.86,2.77,210.6228574,7.808,False,False,False,False,14,4,2010
734,2010-04-16,False,2.0,45025.02,66.32,2.808,210.4887,7.808,False,False,False,False,15,4,2010
809,2010-04-23,False,2.0,44418.11,64.84,2.795,210.4391228,7.808,False,False,False,False,16,4,2010
893,2010-04-30,False,2.0,45971.3,67.41,2.78,210.3895456,7.808,False,False,False,False,17,4,2010
963,2010-05-07,False,2.0,47903.01,72.55,2.835,210.3399684,7.808,False,False,False,False,18,5,2010
1025,2010-05-14,False,2.0,43675.61,74.78,2.854,210.3374261,7.808,False,False,False,False,19,5,2010
1098,2010-05-21,False,2.0,44319.15,76.44,2.826,210.6170934,7.808,False,False,False,False,20,5,2010
1176,2010-05-28,False,2.0,44619.52,80.44,2.759,210.8967606,7.808,False,False,False,False,21,5,2010
1234,2010-06-04,False,2.0,48754.47,80.69,2.705,211.1764278,7.808,False,False,False,False,22,6,2010
1352,2010-06-11,False,2.0,47089.54,80.43,2.668,211.4560951,7.808,False,False,False,False,23,6,2010
1406,2010-06-18,False,2.0,44428.71,84.11,2.637,211.4537719,7.808,False,False,False,False,24,6,2010
1497,2010-06-25,False,2.0,45299.92,84.34,2.653,211.3386526,7.808,False,False,False,False,25,6,2010
1546,2010-07-02,False,2.0,47077.72,80.91,2.669,211.2235333,7.787,False,False,False,False,26,7,2010
1605,2010-07-09,False,2.0,46752.12,80.48,2.642,211.108414,7.787,False,False,False,False,27,7,2010
1665,2010-07-16,False,2.0,44339.2,83.15,2.623,211.1003854,7.787,False,False,False,False,28,7,2010
1755,2010-07-23,False,2.0,44763.33,83.36,2.608,211.2351443,7.787,False,False,False,False,29,7,2010
1810,2010-07-30,False,2.0,45833.77,81.84,2.64,211.3699032,7.787,False,False,False,False,30,7,2010
1893,2010-08-06,False,2.0,50031.73,87.16,2.627,211.5046621,7.787,False,False,False,False,31,8,2010
1974,2010-08-13,False,2.0,45475.69,87.0,2.692,211.6394211,7.787,False,False,False,False,32,8,2010
2030,2010-08-20,False,2.0,49754.17,86.65,2.664,211.6033633,7.787,False,False,False,False,33,8,2010
2089,2010-08-27,False,2.0,49623.53,85.22,2.619,211.5673056,7.787,False,False,False,False,34,8,2010
2176,2010-09-03,False,2.0,49015.05,81.21,2.577,211.5312479,7.787,False,False,False,False,35,9,2010
2221,2010-09-10,True,2.0,45182.5,78.69,2.565,211.4951902,7.787,False,True,False,False,36,9,2010
2299,2010-09-17,False,2.0,44681.64,82.11,2.582,211.5224596,7.787,False,False,False,False,37,9,2010
2407,2010-09-24,False,2.0,42477.49,80.94,2.624,211.5972246,7.787,False,False,False,False,38,9,2010
2480,2010-10-01,False,2.0,45829.02,71.89,2.603,211.6719895,7.838,False,False,False,False,39,10,2010
2565,2010-10-08,False,2.0,46387.54,63.93,2.633,211.7467544,7.838,False,False,False,False,40,10,2010
2624,2010-10-15,False,2.0,43110.79,67.18,2.72,211.8137436,7.838,False,False,False,False,41,10,2010
2696,2010-10-22,False,2.0,42371.48,69.86,2.725,211.8612937,7.838,False,False,False,False,42,10,2010
2764,2010-10-29,False,2.0,44081.33,69.64,2.716,211.9088438,7.838,False,False,False,False,43,10,2010
2853,2010-11-05,False,2.0,46381.43,58.74,2.689,211.9563939,7.838,False,False,False,False,44,11,2010
2912,2010-11-12,False,2.0,43194.49,59.61,2.728,212.003944,7.838,False,False,False,False,45,11,2010
2954,2010-11-19,False,2.0,41443.25,51.41,2.771,211.8896737,7.838,False,False,False,False,46,11,2010
3025,2010-11-26,True,2.0,45681.98,64.52,2.735,211.7484333,7.838,False,False,True,False,47,11,2010
3105,2010-12-03,False,2.0,44405.02,49.27,2.708,211.607193,7.838,False,False,False,False,48,12,2010
3200,2010-12-10,False,2.0,46955.82,46.33,2.843,211.4659526,7.838,False,False,False,False,49,12,2010
3258,2010-12-17,False,2.0,49303.28,49.84,2.869,211.4053124,7.838,False,False,False,False,50,12,2010
3341,2010-12-24,False,2.0,59889.32,52.33,2.886,211.4051222,7.838,False,False,False,False,51,12,2010
3423,2010-12-31,True,2.0,35819.83,48.43,2.943,211.4049321,7.838,False,False,False,True,52,12,2010
3505,2011-01-07,False,2.0,43202.29,48.27,2.976,211.4047419,7.742,False,False,False,False,1,1,2011
3576,2011-01-14,False,2.0,39857.4,35.4,2.983,211.4574109,7.742,False,False,False,False,2,1,2011
3634,2011-01-21,False,2.0,41596.99,44.04,3.016,211.8272343,7.742,False,False,False,False,3,1,2011
3698,2011-01-28,False,2.0,41651.01,43.83,3.01,212.1970577,7.742,False,False,False,False,4,1,2011
3755,2011-02-04,False,2.0,46829.12,42.27,2.989,212.5668812,7.742,False,False,False,False,5,2,2011
3862,2011-02-11,True,2.0,47595.35,36.39,3.022,212.9367046,7.742,True,False,False,False,6,2,2011
3932,2011-02-18,False,2.0,49202.06,57.36,3.045,213.2478853,7.742,False,False,False,False,7,2,2011
3993,2011-02-25,False,2.0,46165.25,62.9,3.065,213.535609,7.742,False,False,False,False,8,2,2011
4069,2011-03-04,False,2.0,53035.54,59.58,3.288,213.8233327,7.742,False,False,False,False,9,3,2011
4140,2011-03-11,False,2.0,48465.72,53.56,3.459,214.1110564,7.742,False,False,False,False,10,3,2011
4225,2011-03-18,False,2.0,45222.3,62.76,3.488,214.3627114,7.742,False,False,False,False,11,3,2011
4296,2011-03-25,False,2.0,44293.54,69.97,3.473,214.5999389,7.742,False,False,False,False,12,3,2011
4335,2011-04-01,False,2.0,46991.58,59.17,3.524,214.8371664,7.682,False,False,False,False,13,4,2011
4416,2011-04-08,False,2.0,48501.79,67.84,3.622,215.0743939,7.682,False,False,False,False,14,4,2011
4457,2011-04-15,False,2.0,44464.74,71.27,3.743,215.2918561,7.682,False,False,False,False,15,4,2011
4520,2011-04-22,False,2.0,46544.56,72.99,3.807,215.4599053,7.682,False,False,False,False,16,4,2011
4595,2011-04-29,False,2.0,43682.41,72.03,3.81,215.6279544,7.682,False,False,False,False,17,4,2011
4697,2011-05-06,False,2.0,50139.92,64.61,3.906,215.7960035,7.682,False,False,False,False,18,5,2011
4769,2011-05-13,False,2.0,44274.15,75.64,3.899,215.9640526,7.682,False,False,False,False,19,5,2011
4858,2011-05-20,False,2.0,44302.11,67.63,3.907,215.7339202,7.682,False,False,False,False,20,5,2011
4936,2011-05-27,False,2.0,45072.11,77.72,3.786,215.5037878,7.682,False,False,False,False,21,5,2011
5000,2011-06-03,False,2.0,47844.27,83.0,3.699,215.2736553,7.682,False,False,False,False,22,6,2011
5075,2011-06-10,False,2.0,46363.93,83.13,3.648,215.0435229,7.682,False,False,False,False,23,6,2011
5133,2011-06-17,False,2.0,42939.63,86.41,3.637,214.9980596,7.682,False,False,False,False,24,6,2011
5187,2011-06-24,False,2.0,42415.81,83.58,3.594,215.0910982,7.682,False,False,False,False,25,6,2011
5246,2011-07-01,False,2.0,45247.74,85.55,3.524,215.1841368,7.962,False,False,False,False,26,7,2011
5309,2011-07-08,False,2.0,44623.23,85.83,3.48,215.2771754,7.962,False,False,False,False,27,7,2011
5409,2011-07-15,False,2.0,43260.96,88.54,3.575,215.3611087,7.962,False,False,False,False,28,7,2011
5458,2011-07-22,False,2.0,45113.56,85.77,3.651,215.4222784,7.962,False,False,False,False,29,7,2011
5520,2011-07-29,False,2.0,43191.02,86.83,3.682,215.4834482,7.962,False,False,False,False,30,7,2011
5581,2011-08-05,False,2.0,49359.75,91.65,3.684,215.544618,7.962,False,False,False,False,31,8,2011
5669,2011-08-12,False,2.0,45341.92,90.76,3.638,215.6057878,7.962,False,False,False,False,32,8,2011
5746,2011-08-19,False,2.0,46391.12,89.94,3.554,215.6693107,7.962,False,False,False,False,33,8,2011
5866,2011-08-26,False,2.0,47659.93,87.96,3.523,215.7332258,7.962,False,False,False,False,34,8,2011
5911,2011-09-02,False,2.0,49419.75,87.83,3.533,215.7971409,7.962,False,False,False,False,35,9,2011
5965,2011-09-09,True,2.0,43315.85,76.0,3.546,215.861056,7.962,False,True,False,False,36,9,2011
6046,2011-09-16,False,2.0,42963.96,79.94,3.526,216.0410526,7.962,False,False,False,False,37,9,2011
6131,2011-09-23,False,2.0,43390.94,75.8,3.467,216.3758246,7.962,False,False,False,False,38,9,2011
6189,2011-09-30,False,2.0,46045.09,79.69,3.355,216.7105965,7.962,False,False,False,False,39,9,2011
6259,2011-10-07,False,2.0,49880.69,69.31,3.285,217.0453684,7.866,False,False,False,False,40,10,2011
6320,2011-10-14,False,2.0,43306.38,71.74,3.274,217.3552733,7.866,False,False,False,False,41,10,2011
6384,2011-10-21,False,2.0,42487.67,63.71,3.353,217.5159762,7.866,False,False,False,False,42,10,2011
6484,2011-10-28,False,2.0,41682.4,66.57,3.372,217.6766791,7.866,False,False,False,False,43,10,2011
6581,2011-11-04,False,2.0,47313.62,54.98,3.332,217.837382,7.866,False,False,False,False,44,11,2011
6656,2011-11-11,False,2.0,44936.47,59.11,3.297,217.9980849,7.866,False,False,False,False,45,11,2011
6728,2011-11-18,False,2.0,43997.78,62.25,3.308,218.2205088,7.866,False,False,False,False,46,11,2011
6802,2011-11-25,True,2.0,44259.59,60.14,3.236,218.4676211,7.866,False,False,True,False,47,11,2011
6875,2011-12-02,False,2.0,45928.14,48.91,3.172,218.7147333,7.866,False,False,False,False,48,12,2011
6948,2011-12-09,False,2.0,49357.43,43.93,3.158,218.9618456,7.866,False,False,False,False,49,12,2011
7009,2011-12-16,False,2.0,51137.42,51.63,3.159,219.1794533,7.866,False,False,False,False,50,12,2011
7076,2011-12-23,False,2.0,65615.36,47.96,3.112,219.3577216,7.866,False,False,False,False,51,12,2011
7118,2011-12-30,True,2.0,43539.94,44.55,3.129,219.5359898,7.866,False,False,False,True,52,12,2011
7211,2012-01-06,False,2.0,44481.38,49.01,3.157,219.7142581,7.348,False,False,False,False,1,1,2012
7267,2012-01-13,False,2.0,43353.09,48.53,3.261,219.8925263,7.348,False,False,False,False,2,1,2012
7320,2012-01-20,False,2.0,43753.43,54.11,3.268,219.9856893,7.348,False,False,False,False,3,1,2012
7389,2012-01-27,False,2.0,41556.23,54.26,3.29,220.0788523,7.348,False,False,False,False,4,1,2012
7472,2012-02-03,False,2.0,54322.24,56.55,3.36,220.1720153,7.348,False,False,False,False,5,2,2012
7533,2012-02-10,True,2.0,50581.06,48.02,3.409,220.2651783,7.348,True,False,False,False,6,2,2012
7672,2012-02-17,False,2.0,46085.47,45.32,3.51,220.4257586,7.348,False,False,False,False,7,2,2012
7744,2012-02-24,False,2.0,47080.12,57.25,3.555,220.636902,7.348,False,False,False,False,8,2,2012
7814,2012-03-02,False,2.0,52608.51,60.96,3.63,220.8480454,7.348,False,False,False,False,9,3,2012
7873,2012-03-09,False,2.0,48563.69,58.76,3.669,221.0591887,7.348,False,False,False,False,10,3,2012
7912,2012-03-16,False,2.0,47346.32,64.74,3.734,221.2118132,7.348,False,False,False,False,11,3,2012
7965,2012-03-23,False,2.0,44796.03,65.93,3.787,221.2864126,7.348,False,False,False,False,12,3,2012
8050,2012-03-30,False,2.0,46529.68,67.61,3.845,221.3610119,7.348,False,False,False,False,13,3,2012
8116,2012-04-06,False,2.0,51805.88,70.43,3.891,221.4356112,7.143,False,False,False,False,14,4,2012
8188,2012-04-13,False,2.0,43991.18,69.07,3.891,221.5102105,7.143,False,False,False,False,15,4,2012
8311,2012-04-20,False,2.0,45561.85,66.76,3.877,221.5640737,7.143,False,False,False,False,16,4,2012
8362,2012-04-27,False,2.0,45456.23,67.23,3.814,221.6179368,7.143,False,False,False,False,17,4,2012
8430,2012-05-04,False,2.0,50501.3,75.55,3.749,221.6718,7.143,False,False,False,False,18,5,2012
8506,2012-05-11,False,2.0,46717.76,73.77,3.688,221.7256632,7.143,False,False,False,False,19,5,2012
8565,2012-05-18,False,2.0,44411.23,70.33,3.63,221.742674,7.143,False,False,False,False,20,5,2012
8622,2012-05-25,False,2.0,45817.07,77.22,3.561,221.744944,7.143,False,False,False,False,21,5,2012
8714,2012-06-01,False,2.0,47425.29,77.95,3.501,221.7472139,7.143,False,False,False,False,22,6,2012
8754,2012-06-08,False,2.0,49439.58,78.3,3.452,221.7494839,7.143,False,False,False,False,23,6,2012
8834,2012-06-15,False,2.0,46637.48,79.35,3.393,221.7626421,7.143,False,False,False,False,24,6,2012
8902,2012-06-22,False,2.0,46075.0,78.39,3.346,221.8030211,7.143,False,False,False,False,25,6,2012
8963,2012-06-29,False,2.0,47629.14,84.88,3.286,221.8434,7.143,False,False,False,False,26,6,2012
9025,2012-07-06,False,2.0,49771.92,81.57,3.227,221.8837789,6.908,False,False,False,False,27,7,2012
9097,2012-07-13,False,2.0,44411.95,77.12,3.256,221.9241579,6.908,False,False,False,False,28,7,2012
9171,2012-07-20,False,2.0,45108.22,80.42,3.311,221.9327267,6.908,False,False,False,False,29,7,2012
9276,2012-07-27,False,2.0,45008.22,82.66,3.407,221.9412954,6.908,False,False,False,False,30,7,2012
9358,2012-08-03,False,2.0,49424.06,86.11,3.417,221.9498642,6.908,False,False,False,False,31,8,2012
9414,2012-08-10,False,2.0,46729.91,85.05,3.494,221.9584329,6.908,False,False,False,False,32,8,2012
9467,2012-08-17,False,2.0,46350.97,84.85,3.571,222.0384109,6.908,False,False,False,False,33,8,2012
9548,2012-08-24,False,2.0,44972.52,77.66,3.62,222.1719457,6.908,False,False,False,False,34,8,2012
9604,2012-08-31,False,2.0,50995.5,80.49,3.638,222.3054805,6.908,False,False,False,False,35,8,2012
9721,2012-09-07,True,2.0,47344.5,83.96,3.73,222.4390153,6.908,False,True,False,False,36,9,2012
9793,2012-09-14,False,2.0,44493.61,74.97,3.717,222.5820193,6.908,False,False,False,False,37,9,2012
9868,2012-09-21,False,2.0,43541.07,69.87,3.721,222.7818386,6.908,False,False,False,False,38,9,2012
9921,2012-09-28,False,2.0,45784.76,76.08,3.666,222.9816579,6.908,False,False,False,False,39,9,2012
10002,2012-10-05,False,2.0,48577.08,68.55,3.617,223.1814772,6.573,False,False,False,False,40,10,2012
10062,2012-10-12,False,2.0,42112.67,62.99,3.601,223.3812965,6.573,False,False,False,False,41,10,2012
10103,2012-10-19,False,2.0,42354.72,67.97,3.594,223.4257233,6.573,False,False,False,False,42,10,2012
10176,2012-10-26,False,2.0,43134.88,69.16,3.506,223.4442513,6.573,False,False,False,False,43,10,2012
